data,contaminant,lat,lng,valor
2025-02-14,PM10,41.103706,1.2007992,2
2025-02-14,NOX,41.103706,1.2007992,170
2025-02-14,NO2,41.103706,1.2007992,55
2025-02-14,SO2,41.103706,1.2007992,5
2025-02-14,H2S,41.103706,1.2007992,4.8
2025-02-14,NO,41.103706,1.2007992,82
2025-01-06,NOX,41.103706,1.2007992,24
2025-01-06,NO2,41.103706,1.2007992,19
2025-01-06,SO2,41.103706,1.2007992,1
2025-01-06,H2S,41.103706,1.2007992,2.9
2025-01-06,NO,41.103706,1.2007992,3
2025-02-14,PM10,41.102505,1.1494449,46
2025-02-14,PM2.5,41.102505,1.1494449,25
2025-02-14,NO2,41.102505,1.1494449,86
2025-02-14,SO2,41.102505,1.1494449,3
2025-02-14,NO,41.102505,1.1494449,81
2025-01-06,PM10,41.102505,1.1494449,47
2025-01-06,PM2.5,41.102505,1.1494449,17
2025-01-06,NO2,41.102505,1.1494449,29
2025-01-06,SO2,41.102505,1.1494449,3
2025-01-06,NO,41.102505,1.1494449,4
2025-02-14,PM10,42.0979,1.8482014,32
2025-02-14,NOX,42.0979,1.8482014,183
2025-02-14,NO2,42.0979,1.8482014,76
2025-02-14,SO2,42.0979,1.8482014,4
2025-02-14,NO,42.0979,1.8482014,70
2025-01-06,PM10,42.0979,1.8482014,
2025-01-06,PM2.5,42.0979,1.8482014,
2025-01-06,NO2,42.0979,1.8482014,
2025-01-06,SO2,42.0979,1.8482014,
2025-01-06,O3,42.0979,1.8482014,
2025-01-06,NO,42.0979,1.8482014,
